Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1397487,-,-,-,43.77,-69.3,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2013,1,1,0,30,0,0,0,0,0.8669000267982483,3.3000000000000003,83.95,2,1000.0
2013,1,1,1,30,0,0,0,0,0.8669000267982483,3.4000000000000004,84.94,2,1000.0
2013,1,1,2,30,0,0,0,0,0.8669000267982483,3.6,86.01,2,1000.0
2013,1,1,3,30,0,0,0,0,0.8669000267982483,3.8000000000000003,86.58,2,1000.0
2013,1,1,4,30,0,0,0,0,0.8669000267982483,3.9000000000000004,92.89,1,1000.0
2013,1,1,5,30,0,0,0,0,0.8669000267982483,3.9000000000000004,91.05,1,1000.0
2013,1,1,6,30,0,0,0,0,0.8669000267982483,3.9000000000000004,88.89,1,1000.0
2013,1,1,7,30,15,0,15,0,0.8669000267982483,4.0,87.67,1,1000.0
2013,1,1,8,30,53,581,156,-1,0.8669000267982483,4.3,91.33,0,1000.0
2013,1,1,9,30,71,757,291,-2,0.8669000267982483,4.6000000000000005,84.84,0,1000.0
2013,1,1,10,30,80,841,386,-3,0.8669000267982483,4.800000000000001,77.98,0,1000.0
2013,1,1,11,30,84,873,428,-4,0.8669000267982483,4.800000000000001,77.85000000000001,-1,1000.0
2013,1,1,12,30,82,865,411,-5,0.8669000267982483,4.7,79.68,-2,1000.0
2013,1,1,13,30,73,818,337,-5,0.8669000267982483,4.6000000000000005,83.58,-3,1000.0
2013,1,1,14,30,49,590,181,-5,0.8669000267982483,4.6000000000000005,82.31,-3,1000.0
2013,1,1,15,30,32,309,60,-5,0.8669000267982483,4.6000000000000005,81.13,-3,1000.0
2013,1,1,16,30,0,0,0,-6,0.8669000267982483,4.6000000000000005,85.31,-4,1000.0
2013,1,1,17,30,0,0,0,-6,0.8669000267982483,4.5,82.26,-4,1010.0
2013,1,1,18,30,0,0,0,-7,0.8669000267982483,4.4,85.71000000000001,-5,1010.0
2013,1,1,19,30,0,0,0,-7,0.8669000267982483,4.3,83.49,-5,1010.0
2013,1,1,20,30,0,0,0,-7,0.8669000267982483,4.2,88.32000000000001,-6,1010.0
2013,1,1,21,30,0,0,0,-7,0.8669000267982483,4.2,87.4,-6,1010.0
2013,1,1,22,30,0,0,0,-7,0.8669000267982483,4.2,86.3,-6,1010.0
2013,1,1,23,30,0,0,0,-8,0.8669000267982483,4.3,91.67,-7,1010.0
2013,1,2,0,30,0,0,0,-8,0.8669000267982483,4.1000000000000005,90.60000000000001,-7,1010.0
2013,1,2,1,30,0,0,0,-8,0.8669000267982483,4.0,97.11,-8,1010.0
2013,1,2,2,30,0,0,0,-8,0.8669000267982483,3.8000000000000003,96.58,-8,1010.0
2013,1,2,3,30,0,0,0,-8,0.8669000267982483,3.6,96.03,-8,1010.0
2013,1,2,4,30,0,0,0,-8,0.8669000267982483,3.6,95.58,-8,1010.0
2013,1,2,5,30,0,0,0,-8,0.8669000267982483,3.6,95.44,-8,1010.0
2013,1,2,6,30,0,0,0,-8,0.8669000267982483,3.6,95.55,-8,1010.0
2013,1,2,7,30,18,0,18,-8,0.8669000267982483,3.4000000000000004,88.83,-7,1010.0
2013,1,2,8,30,52,398,123,-8,0.8669000267982483,3.1,83.62,-6,1010.0
2013,1,2,9,30,53,707,258,-7,0.8669000267982483,3.0,80.97,-5,1010.0
2013,1,2,10,30,62,754,337,-7,0.8669000267982483,3.1,78.87,-4,1010.0
2013,1,2,11,30,81,885,431,-6,0.8669000267982483,3.4000000000000004,82.18,-4,1010.0
2013,1,2,12,30,100,589,325,-6,0.8669000267982483,3.8000000000000003,84.16,-4,1010.0
2013,1,2,13,30,79,593,271,-6,0.8669000267982483,4.3,84.33,-4,1010.0
2013,1,2,14,30,49,598,183,-6,0.8669000267982483,4.7,82.43,-4,1010.0
2013,1,2,15,30,32,333,63,-6,0.8669000267982483,4.9,85.95,-5,1010.0
2013,1,2,16,30,0,0,0,-7,0.8669000267982483,4.9,88.33,-6,1010.0
2013,1,2,17,30,0,0,0,-8,0.8669000267982483,4.800000000000001,90.62,-7,1010.0
2013,1,2,18,30,0,0,0,-8,0.8669000267982483,4.7,94.09,-8,1010.0
2013,1,2,19,30,0,0,0,-9,0.8669000267982483,4.6000000000000005,91.81,-8,1010.0
2013,1,2,20,30,0,0,0,-9,0.8669000267982483,4.4,98.60000000000001,-9,1010.0
2013,1,2,21,30,0,0,0,-9,0.8669000267982483,4.1000000000000005,98.41,-9,1010.0
2013,1,2,22,30,0,0,0,-10,0.8669000267982483,4.0,100.0,-10,1010.0
2013,1,2,23,30,0,0,0,-10,0.8669000267982483,3.8000000000000003,100.0,-10,1010.0
2013,1,3,0,30,0,0,0,-10,0.8669000267982483,3.7,100.0,-10,1010.0
2013,1,3,1,30,0,0,0,-10,0.8669000267982483,3.6,100.0,-10,1010.0
2013,1,3,2,30,0,0,0,-11,0.8669000267982483,3.4000000000000004,100.0,-11,1010.0
2013,1,3,3,30,0,0,0,-11,0.8669000267982483,3.3000000000000003,100.0,-11,1010.0
2013,1,3,4,30,0,0,0,-10,0.8669000267982483,3.2,100.0,-10,1010.0
2013,1,3,5,30,0,0,0,-10,0.8669000267982483,3.1,100.0,-10,1010.0
2013,1,3,6,30,0,0,0,-10,0.8669000267982483,3.0,100.0,-10,1010.0
2013,1,3,7,30,18,0,18,-9,0.8669000267982483,2.9000000000000004,98.22,-9,1020.0
2013,1,3,8,30,52,397,123,-9,0.8669000267982483,2.7,91.97,-8,1010.0
2013,1,3,9,30,60,826,300,-8,0.8669000267982483,2.5,86.58,-7,1010.0
2013,1,3,10,30,61,760,339,-8,0.8669000267982483,2.3000000000000003,81.37,-6,1010.0
2013,1,3,11,30,64,780,375,-8,0.8669000267982483,2.3000000000000003,77.45,-5,1010.0
2013,1,3,12,30,64,766,358,-7,0.8669000267982483,2.3000000000000003,80.38,-5,1010.0
2013,1,3,13,30,72,816,338,-7,0.8669000267982483,2.4000000000000004,76.65,-4,1010.0
2013,1,3,14,30,51,578,183,-7,0.8669000267982483,2.4000000000000004,77.95,-4,1010.0
2013,1,3,15,30,33,301,62,-7,0.8669000267982483,2.6,77.72,-4,1010.0
2013,1,3,16,30,0,0,0,-7,0.8669000267982483,2.9000000000000004,82.51,-5,1010.0
2013,1,3,17,30,0,0,0,-7,0.8669000267982483,3.1,82.44,-5,1010.0
2013,1,3,18,30,0,0,0,-7,0.8669000267982483,3.0,81.65,-5,1010.0
2013,1,3,19,30,0,0,0,-7,0.8669000267982483,2.9000000000000004,80.24,-5,1010.0
2013,1,3,20,30,0,0,0,-8,0.8669000267982483,2.8000000000000003,78.7,-5,1010.0
2013,1,3,21,30,0,0,0,-8,0.8669000267982483,2.7,77.42,-5,1010.0
2013,1,3,22,30,0,0,0,-8,0.8669000267982483,2.7,77.76,-5,1010.0
2013,1,3,23,30,0,0,0,-7,0.8669000267982483,2.8000000000000003,80.01,-5,1010.0
2013,1,4,0,30,0,0,0,-7,0.8669000267982483,2.8000000000000003,77.36,-4,1010.0
2013,1,4,1,30,0,0,0,-6,0.8669000267982483,3.0,81.39,-4,1010.0
2013,1,4,2,30,0,0,0,-5,0.8669000267982483,3.2,80.27,-3,1010.0
2013,1,4,3,30,0,0,0,-5,0.8669000267982483,3.4000000000000004,85.99,-3,1010.0
2013,1,4,4,30,0,0,0,-4,0.8669000267982483,3.5,85.22,-2,1010.0
2013,1,4,5,30,0,0,0,-3,0.8669000267982483,3.4000000000000004,88.93,-2,1010.0
2013,1,4,6,30,0,0,0,-3,0.8669000267982483,3.2,84.51,-1,1010.0
2013,1,4,7,30,14,0,14,-3,0.8669000267982483,3.2,79.32000000000001,0,1010.0
2013,1,4,8,30,67,65,78,-2,0.8669000267982483,3.2,81.54,0,1010.0
2013,1,4,9,30,104,3,105,-2,0.8669000267982483,3.3000000000000003,84.8,0,1010.0
2013,1,4,10,30,148,250,240,-1,0.8669000267982483,3.4000000000000004,87.25,0,1010.0
2013,1,4,11,30,158,33,171,-1,0.8669000267982483,3.5,83.38,1,1000.0
2013,1,4,12,30,151,30,163,-1,0.8669000267982483,3.8000000000000003,79.39,2,1000.0
2013,1,4,13,30,124,20,130,0,0.8669000267982483,4.2,80.60000000000001,2,1000.0
2013,1,4,14,30,84,238,139,0,0.8669000267982483,4.4,82.24,2,1000.0
2013,1,4,15,30,37,87,46,0,0.8669000267982483,4.4,84.24,2,1000.0
2013,1,4,16,30,0,0,0,0,0.8669000267982483,4.1000000000000005,85.55,2,1000.0
2013,1,4,17,30,0,0,0,0,0.8669000267982483,4.0,86.3,2,1000.0
2013,1,4,18,30,0,0,0,0,0.8669000267982483,3.8000000000000003,86.42,2,1000.0
2013,1,4,19,30,0,0,0,0,0.8669000267982483,3.7,86.23,2,1000.0
2013,1,4,20,30,0,0,0,0,0.8669000267982483,3.6,85.43,2,1000.0
2013,1,4,21,30,0,0,0,0,0.8669000267982483,3.6,85.18,2,1000.0
2013,1,4,22,30,0,0,0,0,0.8669000267982483,3.6,84.86,2,1000.0
2013,1,4,23,30,0,0,0,0,0.8669000267982483,3.5,84.44,2,1000.0
2013,1,5,0,30,0,0,0,0,0.8669000267982483,3.5,83.29,2,1000.0
2013,1,5,1,30,0,0,0,0,0.8669000267982483,3.5,81.99,2,1000.0
2013,1,5,2,30,0,0,0,0,0.8669000267982483,3.7,81.57000000000001,2,1000.0
2013,1,5,3,30,0,0,0,0,0.8669000267982483,3.8000000000000003,81.7,2,1000.0
2013,1,5,4,30,0,0,0,0,0.8669000267982483,3.9000000000000004,81.97,2,1010.0
2013,1,5,5,30,0,0,0,0,0.8669000267982483,4.1000000000000005,89.46000000000001,1,1010.0
2013,1,5,6,30,0,0,0,0,0.8669000267982483,4.2,90.71000000000001,1,1010.0
2013,1,5,7,30,17,0,17,0,0.8669000267982483,4.3,88.97,1,1010.0
2013,1,5,8,30,49,630,162,-1,0.8669000267982483,4.4,84.3,1,1010.0
2013,1,5,9,30,68,780,297,-2,0.8669000267982483,4.6000000000000005,85.72,0,1010.0
2013,1,5,10,30,81,840,391,-3,0.8669000267982483,4.7,80.2,0,1010.0
2013,1,5,11,30,87,861,432,-3,0.8669000267982483,4.6000000000000005,76.88,0,1010.0
2013,1,5,12,30,84,858,417,-3,0.8669000267982483,4.3,74.51,0,1020.0
2013,1,5,13,30,73,825,345,-4,0.8669000267982483,4.0,73.35000000000001,0,1020.0
2013,1,5,14,30,57,730,226,-4,0.8669000267982483,3.6,72.81,0,1020.0
2013,1,5,15,30,32,496,82,-4,0.8669000267982483,3.2,71.75,0,1020.0
2013,1,5,16,30,0,0,0,-5,0.8669000267982483,3.0,73.8,-1,1020.0
2013,1,5,17,30,0,0,0,-5,0.8669000267982483,2.9000000000000004,76.22,-2,1020.0
2013,1,5,18,30,0,0,0,-6,0.8669000267982483,2.7,73.32000000000001,-2,1020.0
2013,1,5,19,30,0,0,0,-6,0.8669000267982483,2.4000000000000004,76.01,-3,1020.0
2013,1,5,20,30,0,0,0,-7,0.8669000267982483,2.1,73.14,-3,1020.0
2013,1,5,21,30,0,0,0,-7,0.8669000267982483,1.9000000000000001,69.98,-3,1020.0
2013,1,5,22,30,0,0,0,-8,0.8669000267982483,1.8,67.16,-3,1020.0
2013,1,5,23,30,0,0,0,-8,0.8669000267982483,1.5,64.6,-3,1020.0
