3740360,city??,state??,country??,2013,43.759869,-69.331055,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2019-3-17,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
40,40,40,40,,,,,,
1.4,0.99,11.161,257.0,,,,,,
1.5,0.99,11.365,259.3,,,,,,
1.8,0.99,11.609,261.7,,,,,,
2.0,0.99,13.538,265.3,,,,,,
1.9,0.99,13.59,264.1,,,,,,
2.1,0.99,13.416,263.0,,,,,,
1.5,0.99,13.712,271.8,,,,,,
0.5,0.99,14.673,294.2,,,,,,
-0.6,0.99,14.261,285.9,,,,,,
-1.4,0.99,13.962,295.5,,,,,,
-1.8,0.99,13.627,301.1,,,,,,
-2.8,0.99,12.635,297.6,,,,,,
-3.3,0.99,11.13,306.1,,,,,,
-3.9,0.99,10.797,295.5,,,,,,
-4.1,0.99,12.369,295.4,,,,,,
-4.5,0.99,12.323,296.2,,,,,,
-5.0,0.99,12.552,295.6,,,,,,
-5.6,1.0,13.044,299.0,,,,,,
-6.4,1.0,13.007,305.5,,,,,,
-7.0,1.0,11.811,308.3,,,,,,
-7.8,1.0,11.808,306.1,,,,,,
-8.2,1.0,11.856,302.7,,,,,,
-8.5,1.0,11.914,300.7,,,,,,
-8.7,1.0,12.732,299.2,,,,,,
-8.8,1.0,11.631,298.9,,,,,,
-8.9,1.0,10.831,297.0,,,,,,
-9.1,1.0,10.852,296.5,,,,,,
-9.2,1.0,11.319,296.8,,,,,,
-9.2,1.0,11.716,293.7,,,,,,
-9.1,1.0,12.482,293.3,,,,,,
-9.0,1.0,13.181,291.3,,,,,,
-8.8,1.0,13.324,289.2,,,,,,
-8.7,1.0,13.004,284.9,,,,,,
-8.2,1.0,12.14,280.4,,,,,,
-7.8,1.0,10.929,278.7,,,,,,
-7.5,1.0,11.621,283.5,,,,,,
-7.3,1.0,10.556,281.8,,,,,,
-6.9,1.0,12.119,286.2,,,,,,
-6.6,1.0,10.721,297.5,,,,,,
-6.8,1.0,12.525,290.7,,,,,,
-7.5,1.0,14.112,303.7,,,,,,
-8.3,1.0,13.404,298.3,,,,,,
-9.1,1.0,12.97,305.2,,,,,,
-9.6,1.0,16.138,305.7,,,,,,
-10.2,1.0,13.962,309.7,,,,,,
-10.3,1.0,11.447,314.7,,,,,,
-10.3,1.0,10.288,315.1,,,,,,
-10.2,1.0,10.593,316.5,,,,,,
-10.2,1.0,9.522,312.0,,,,,,
-9.8,1.01,8.823,318.4,,,,,,
-9.9,1.0,9.867,314.3,,,,,,
-9.9,1.01,8.377,315.0,,,,,,
-10.1,1.01,8.78,314.3,,,,,,
-9.9,1.01,7.862,313.4,,,,,,
-10.1,1.01,8.2,317.6,,,,,,
-9.7,1.01,7.627,314.2,,,,,,
-9.7,1.01,7.172,312.5,,,,,,
-9.8,1.01,6.989,309.1,,,,,,
-9.4,1.01,5.585,306.4,,,,,,
-8.8,1.0,5.322,300.8,,,,,,
-8.4,1.0,4.883,295.4,,,,,,
-7.7,1.0,4.852,289.6,,,,,,
-6.7,1.0,5.399,290.6,,,,,,
-6.0,1.0,5.835,297.1,,,,,,
-5.5,1.0,6.549,299.2,,,,,,
-5.3,1.0,6.442,299.5,,,,,,
-5.4,1.0,7.907,296.0,,,,,,
-5.7,1.0,6.677,305.9,,,,,,
-6.1,1.0,7.23,305.3,,,,,,
-6.0,1.0,7.883,294.1,,,,,,
-5.7,1.0,7.886,295.7,,,,,,
-5.5,1.0,5.426,272.1,,,,,,
-5.0,1.0,5.216,267.9,,,,,,
-4.7,1.0,4.917,268.6,,,,,,
-4.4,1.0,6.25,259.5,,,,,,
-4.6,1.0,8.054,259.9,,,,,,
-4.1,1.0,9.836,256.0,,,,,,
-3.7,1.0,10.062,252.5,,,,,,
-3.2,1.0,8.084,252.6,,,,,,
-2.8,1.0,10.874,248.3,,,,,,
-2.3,1.0,10.346,250.6,,,,,,
-1.7,1.0,10.331,252.2,,,,,,
-1.4,1.0,11.335,245.6,,,,,,
-1.0,1.0,10.672,246.5,,,,,,
-0.0,1.0,12.113,239.9,,,,,,
0.4,1.0,12.632,235.5,,,,,,
1.5,0.99,13.599,245.4,,,,,,
1.7,0.99,14.243,244.2,,,,,,
2.0,0.99,14.765,237.8,,,,,,
2.4,0.99,13.935,249.0,,,,,,
2.4,0.99,14.542,252.7,,,,,,
2.1,0.99,14.475,256.4,,,,,,
1.7,0.99,15.317,258.6,,,,,,
1.5,1.0,13.657,254.3,,,,,,
1.3,1.0,13.327,256.2,,,,,,
1.2,0.99,12.708,262.0,,,,,,
0.8,0.99,12.101,262.1,,,,,,
0.7,1.0,11.454,265.6,,,,,,
0.8,1.0,11.832,261.6,,,,,,
0.7,1.0,11.408,263.8,,,,,,
0.8,1.0,12.326,269.9,,,,,,
1.2,1.0,13.239,266.7,,,,,,
1.0,1.0,11.213,268.8,,,,,,
0.5,1.0,14.255,283.5,,,,,,
-0.2,1.0,11.206,288.2,,,,,,
-1.2,1.0,12.378,299.3,,,,,,
-1.5,1.0,8.493,304.1,,,,,,
-1.8,1.01,6.473,310.8,,,,,,
-2.3,1.01,7.974,295.1,,,,,,
-3.0,1.01,11.396,286.0,,,,,,
-2.8,1.01,10.987,296.9,,,,,,
-2.7,1.01,9.098,299.8,,,,,,
-2.9,1.01,9.076,317.7,,,,,,
-3.4,1.01,11.145,312.8,,,,,,
-3.3,1.01,7.862,322.4,,,,,,
-3.2,1.01,6.207,341.0,,,,,,
-3.6,1.01,5.246,359.2,,,,,,
-3.3,1.01,3.259,4.5,,,,,,
-3.2,1.01,3.119,5.6,,,,,,
-3.1,1.01,3.122,33.0,,,,,,
-2.3,1.01,2.649,51.4,,,,,,
-1.3,1.01,2.084,70.5,,,,,,
-0.5,1.01,2.802,125.5,,,,,,
0.5,1.01,3.485,154.2,,,,,,
1.7,1.01,6.851,195.7,,,,,,
1.4,1.01,7.73,220.1,,,,,,
0.3,1.01,5.435,250.9,,,,,,
-1.1,1.01,3.574,270.0,,,,,,
-0.9,1.01,3.195,282.3,,,,,,
-0.5,1.01,3.36,284.6,,,,,,
-0.4,1.0,4.096,269.5,,,,,,
-0.3,1.0,4.547,248.8,,,,,,
0.2,1.0,5.756,240.0,,,,,,
0.8,1.0,7.199,234.4,,,,,,
1.4,1.0,7.715,242.6,,,,,,
1.7,1.0,7.239,258.9,,,,,,
1.8,1.0,6.641,264.7,,,,,,
2.0,1.0,5.252,261.4,,,,,,
2.4,1.0,4.187,264.4,,,,,,
2.9,1.0,3.961,265.0,,,,,,
3.0,1.0,3.681,268.3,,,,,,
2.6,1.0,2.106,329.6,,,,,,
2.5,1.0,2.274,357.6,,,,,,
2.4,1.0,3.571,17.9,,,,,,
1.8,1.0,5.319,44.6,,,,,,
0.5,1.0,6.998,40.2,,,,,,
-0.1,1.0,8.106,40.8,,,,,,
-0.4,1.0,9.119,34.4,,,,,,
-1.5,1.0,10.752,31.7,,,,,,
-2.9,1.01,10.968,20.2,,,,,,
-3.7,1.01,10.218,16.5,,,,,,
-4.5,1.01,10.239,15.8,,,,,,
-5.1,1.01,10.636,16.4,,,,,,
-5.9,1.01,11.026,17.1,,,,,,
-6.1,1.01,10.218,16.9,,,,,,
-6.1,1.01,8.414,13.2,,,,,,
-5.6,1.01,7.105,9.9,,,,,,
-5.5,1.01,6.061,9.6,,,,,,
-5.3,1.01,5.463,4.2,,,,,,
-4.9,1.01,4.324,6.9,,,,,,
-4.5,1.01,3.742,17.5,,,,,,
-4.1,1.02,3.07,20.6,,,,,,
-3.5,1.02,1.837,26.1,,,,,,
-2.8,1.02,0.607,74.2,,,,,,
-2.1,1.02,2.075,176.5,,,,,,
-1.3,1.02,4.108,184.8,,,,,,
-0.6,1.02,6.177,200.1,,,,,,
0.3,1.02,9.012,205.1,,,,,,
1.1,1.01,10.147,216.9,,,,,,
1.6,1.01,10.001,217.6,,,,,,
2.4,1.01,11.664,216.1,,,,,,
3.0,1.01,14.512,218.0,,,,,,
3.4,1.01,14.759,220.7,,,,,,
3.4,1.01,14.826,224.8,,,,,,
3.0,1.01,14.277,227.3,,,,,,
2.9,1.01,14.106,227.4,,,,,,
2.9,1.01,15.314,230.2,,,,,,
2.8,1.01,14.927,232.3,,,,,,
2.7,1.01,14.475,232.3,,,,,,
2.6,1.01,13.141,233.2,,,,,,
2.6,1.01,11.82,228.0,,,,,,
3.2,1.01,11.557,228.2,,,,,,
4.5,1.01,12.494,233.7,,,,,,
5.1,1.01,12.61,236.2,,,,,,
5.5,1.01,12.085,242.3,,,,,,
5.8,1.01,11.963,244.9,,,,,,
6.0,1.01,10.73,255.5,,,,,,
5.9,1.01,10.324,265.2,,,,,,
3.7,1.01,5.673,294.2,,,,,,
3.6,1.01,6.183,274.6,,,,,,
3.2,1.01,3.684,282.9,,,,,,
3.7,1.01,2.762,310.0,,,,,,
4.2,1.01,4.788,317.4,,,,,,
3.6,1.01,5.429,329.6,,,,,,
2.5,1.01,4.779,342.7,,,,,,
2.1,1.02,2.957,347.2,,,,,,
